prompt_level,left_condition,right_condition,left_architecture,right_architecture,topic,topic_key,n_left,n_right,n_matched_inputs,n_unmatched_pairs,primary_eligible,mean_same_input_route_similarity,mean_different_input_route_similarity,architecture_route_displacement,same_input_similarity_advantage,analysis_role,c4_also_changes_second_model
P0,C1-P0,C2-P0,C1,C2,Buying A Car,buying a car,2,2,2,2,False,0.36779395635594025,0.3865439765488096,0.6322060436440597,-0.018750020192869365,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Capital Punishment,capital punishment,2,2,2,2,False,0.4265719097371205,0.4139877799597604,0.5734280902628794,0.01258412977736012,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.28962751234093775,0.30662216004706594,0.7103724876590622,-0.016994647706128185,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Child Care,child care,2,2,2,2,False,0.2570596642462124,0.28851860248645,0.7429403357537876,-0.0314589382402376,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Crime,crime,4,4,4,12,True,0.42638082573135183,0.437627898975892,0.5736191742686482,-0.011247073244540162,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Drug Testing,drug testing,2,2,2,2,False,0.37444145022083747,0.3625102800225672,0.6255585497791625,0.01193117019827028,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Family Finance,family finance,5,5,5,20,True,0.3635852516933115,0.33151771500940747,0.6364147483066884,0.03206753668390405,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Job Benefits,job benefits,5,5,5,20,True,0.35307364205123526,0.36178875594272886,0.6469263579487647,-0.008715113891493598,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Music,music,2,2,2,2,False,0.3887578116579905,0.37369133843897623,0.6112421883420095,0.015066473219014276,exploratory,False
P0,C1-P0,C2-P0,C1,C2,News Media,news media,4,4,4,12,True,0.3913055830301828,0.3844880170609506,0.6086944169698172,0.00681756596923222,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Recycling,recycling,3,3,3,6,True,0.4333756708511964,0.41946914826370313,0.5666243291488036,0.013906522587493253,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Taxes,taxes,2,2,2,2,False,0.08395670121302135,0.0902867087792884,0.9160432987869787,-0.00633000756626706,exploratory,False
P0,C1-P0,C2-P0,C1,C2,Trial By Jury,trial by jury,6,6,6,30,True,0.42514879868390115,0.39872446277330365,0.5748512013160989,0.026424335910597507,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Buying A Car,buying a car,2,2,2,2,False,0.39393991172607196,0.38041848559421026,0.606060088273928,0.013521426131861691,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Capital Punishment,capital punishment,2,2,2,2,False,0.4759752121277888,0.47353243378660737,0.5240247878722112,0.0024427783411814508,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.36435414374613834,0.3686584303633268,0.6356458562538616,-0.0043042866171884575,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Child Care,child care,2,2,2,2,False,0.3000192694305031,0.25673984305642267,0.699980730569497,0.04327942637408044,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Crime,crime,4,4,4,12,True,0.43517749788291804,0.4473233147346625,0.564822502117082,-0.012145816851744484,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Drug Testing,drug testing,2,2,2,2,False,0.39922104841782946,0.346170494298266,0.6007789515821705,0.05305055411956344,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Family Finance,family finance,5,5,5,20,True,0.3982066422901466,0.39404291640529954,0.6017933577098534,0.004163725884847036,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Job Benefits,job benefits,5,5,5,20,True,0.3387179795378129,0.3584165472336043,0.6612820204621871,-0.01969856769579137,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Music,music,2,2,2,2,False,0.3063875506033133,0.3432109526721435,0.6936124493966866,-0.036823402068830224,exploratory,False
P0,C1-P0,C3-P0,C1,C3,News Media,news media,4,4,4,12,True,0.42490692141513403,0.39000022654599587,0.575093078584866,0.034906694869138166,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Recycling,recycling,3,3,3,6,True,0.46205526210072484,0.4472930075150281,0.5379447378992752,0.014762254585696744,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Taxes,taxes,2,2,2,2,False,0.1742997775496305,0.16432325641373324,0.8257002224503696,0.009976521135897254,exploratory,False
P0,C1-P0,C3-P0,C1,C3,Trial By Jury,trial by jury,6,6,6,30,True,0.41542651234925926,0.413147624089297,0.5845734876507407,0.002278888259962253,exploratory,False
P0,C1-P0,C4-P0,C1,C4,Buying A Car,buying a car,2,2,2,2,False,0.4412744596663248,0.4334234524753092,0.5587255403336753,0.007851007191015558,exploratory,True
P0,C1-P0,C4-P0,C1,C4,Capital Punishment,capital punishment,2,2,2,2,False,0.4372731361812752,0.4459866344315665,0.5627268638187248,-0.008713498250291274,exploratory,True
P0,C1-P0,C4-P0,C1,C4,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.3887407327189004,0.38064222264055125,0.6112592672810996,0.008098510078349164,exploratory,True
P0,C1-P0,C4-P0,C1,C4,Child Care,child care,2,2,2,2,False,0.2753473668932861,0.2792540079655636,0.7246526331067139,-0.003906641072277506,exploratory,True
P0,C1-P0,C4-P0,C1,C4,Crime,crime,4,4,4,12,True,0.4515815013289618,0.43434774853055025,0.5484184986710382,0.01723375279841155,exploratory,True
P0,C1-P0,C4-P0,C1,C4,Drug Testing,drug testing,2,2,2,2,False,0.4132431455920869,0.4264894863366881,0.5867568544079131,-0.013246340744601182,exploratory,True
P0,C1-P0,C4-P0,C1,C4,Family Finance,family finance,5,5,5,20,True,0.4087365264930763,0.3898644461054198,0.5912634735069238,0.018872080387656476,exploratory,True
P0,C1-P0,C4-P0,C1,C4,Job Benefits,job benefits,5,5,5,20,True,0.33244425306130154,0.33793462789355233,0.6675557469386985,-0.005490374832250788,exploratory,True
P0,C1-P0,C4-P0,C1,C4,Music,music,2,2,2,2,False,0.46960894290744004,0.46118784721207945,0.53039105709256,0.008421095695360592,exploratory,True
P0,C1-P0,C4-P0,C1,C4,News Media,news media,4,4,4,12,True,0.386905637433795,0.38165349110909746,0.613094362566205,0.00525214632469756,exploratory,True
P0,C1-P0,C4-P0,C1,C4,Recycling,recycling,3,3,3,6,True,0.4673495579308052,0.4651917912037986,0.5326504420691949,0.0021577667270065715,exploratory,True
P0,C1-P0,C4-P0,C1,C4,Taxes,taxes,2,2,2,2,False,0.1130953870719425,0.16401369062788668,0.8869046129280576,-0.05091830355594418,exploratory,True
P0,C1-P0,C4-P0,C1,C4,Trial By Jury,trial by jury,6,6,6,30,True,0.41242299466658877,0.3850801402933745,0.5875770053334113,0.027342854373214265,exploratory,True
P0,C2-P0,C3-P0,C2,C3,Buying A Car,buying a car,2,2,2,2,False,0.3206087345598121,0.38573647095641217,0.6793912654401879,-0.06512773639660008,exploratory,False
P0,C2-P0,C3-P0,C2,C3,Capital Punishment,capital punishment,2,2,2,2,False,0.45566177352593396,0.43838125177555104,0.544338226474066,0.017280521750382916,exploratory,False
P0,C2-P0,C3-P0,C2,C3,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.3562730703494146,0.3340612150244252,0.6437269296505854,0.02221185532498937,exploratory,False
P0,C2-P0,C3-P0,C2,C3,Child Care,child care,2,2,2,2,False,0.4025337980715306,0.36781795468743006,0.5974662019284693,0.03471584338410055,exploratory,False
P0,C2-P0,C3-P0,C2,C3,Crime,crime,4,4,4,12,True,0.5115385520716884,0.4740827799226886,0.4884614479283116,0.03745577214899981,exploratory,False
P0,C2-P0,C3-P0,C2,C3,Drug Testing,drug testing,2,2,2,2,False,0.3381956714138888,0.34505145833570616,0.6618043285861113,-0.006855786921817375,exploratory,False
P0,C2-P0,C3-P0,C2,C3,Family Finance,family finance,5,5,5,20,True,0.3599356846852094,0.35360104052096997,0.6400643153147906,0.006334644164239456,exploratory,False
P0,C2-P0,C3-P0,C2,C3,Job Benefits,job benefits,5,5,5,20,True,0.4263071626678368,0.44435113794342324,0.5736928373321633,-0.018043975275586432,exploratory,False
P0,C2-P0,C3-P0,C2,C3,Music,music,2,2,2,2,False,0.40888417846742336,0.3798561314613663,0.5911158215325767,0.029028047006057045,exploratory,False
P0,C2-P0,C3-P0,C2,C3,News Media,news media,4,4,4,12,True,0.38195892618668414,0.3804425509711353,0.6180410738133159,0.0015163752155488708,exploratory,False
P0,C2-P0,C3-P0,C2,C3,Recycling,recycling,3,3,3,6,True,0.4571569415290026,0.4649521738432629,0.5428430584709973,-0.00779523231426027,exploratory,False
P0,C2-P0,C3-P0,C2,C3,Taxes,taxes,2,2,2,2,False,0.33892362806775794,0.32373987473890564,0.6610763719322421,0.0151837533288523,exploratory,False
P0,C2-P0,C3-P0,C2,C3,Trial By Jury,trial by jury,6,6,6,30,True,0.3948283715457455,0.40795163898868736,0.6051716284542545,-0.013123267442941844,exploratory,False
P0,C2-P0,C4-P0,C2,C4,Buying A Car,buying a car,2,2,2,2,False,0.27603422931648525,0.32301550178694144,0.7239657706835148,-0.04698127247045619,exploratory,True
P0,C2-P0,C4-P0,C2,C4,Capital Punishment,capital punishment,2,2,2,2,False,0.46508972384703823,0.474508961177334,0.5349102761529618,-0.00941923733029576,exploratory,True
P0,C2-P0,C4-P0,C2,C4,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.3627656720352085,0.35866125033149293,0.6372343279647915,0.004104421703715555,exploratory,True
P0,C2-P0,C4-P0,C2,C4,Child Care,child care,2,2,2,2,False,0.32674249230682845,0.3864283113649126,0.6732575076931715,-0.05968581905808418,exploratory,True
P0,C2-P0,C4-P0,C2,C4,Crime,crime,4,4,4,12,True,0.5220651574215736,0.5178543766955769,0.47793484257842644,0.004210780725996677,exploratory,True
P0,C2-P0,C4-P0,C2,C4,Drug Testing,drug testing,2,2,2,2,False,0.4586101940653711,0.39452712276736324,0.5413898059346289,0.06408307129800789,exploratory,True
P0,C2-P0,C4-P0,C2,C4,Family Finance,family finance,5,5,5,20,True,0.4219575505935474,0.3952676206152391,0.5780424494064527,0.02668992997830827,exploratory,True
P0,C2-P0,C4-P0,C2,C4,Job Benefits,job benefits,5,5,5,20,True,0.44301289351847756,0.4326211004749876,0.5569871064815224,0.010391793043489972,exploratory,True
P0,C2-P0,C4-P0,C2,C4,Music,music,2,2,2,2,False,0.3720434501263953,0.39788281576021506,0.6279565498736047,-0.025839365633819777,exploratory,True
P0,C2-P0,C4-P0,C2,C4,News Media,news media,4,4,4,12,True,0.34796255068203064,0.3359111616679189,0.6520374493179694,0.012051389014111735,exploratory,True
P0,C2-P0,C4-P0,C2,C4,Recycling,recycling,3,3,3,6,True,0.4686120669699627,0.44922875846848576,0.5313879330300373,0.01938330850147696,exploratory,True
P0,C2-P0,C4-P0,C2,C4,Taxes,taxes,2,2,2,2,False,0.286312232021167,0.2649681166595124,0.7136877679788329,0.021344115361654592,exploratory,True
P0,C2-P0,C4-P0,C2,C4,Trial By Jury,trial by jury,6,6,6,30,True,0.4347156274849124,0.39482856414691603,0.5652843725150876,0.039887063337996354,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Buying A Car,buying a car,2,2,2,2,False,0.3005977254552537,0.26504130798152464,0.6994022745447463,0.03555641747372906,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Capital Punishment,capital punishment,2,2,2,2,False,0.5417775035658532,0.5215736050969332,0.4582224964341468,0.020203898468920012,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.4330149421516268,0.4260960828607578,0.5669850578483733,0.006918859290868995,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Child Care,child care,2,2,2,2,False,0.37027427413249125,0.3928800003615909,0.6297257258675087,-0.02260572622909962,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Crime,crime,4,4,4,12,True,0.5454931020684548,0.49957559922850586,0.4545068979315452,0.04591750283994894,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Drug Testing,drug testing,2,2,2,2,False,0.3423759938928717,0.3109866824350098,0.6576240061071283,0.03138931145786189,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Family Finance,family finance,5,5,5,20,True,0.3716117939807734,0.404716536973056,0.6283882060192266,-0.03310474299228261,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Job Benefits,job benefits,5,5,5,20,True,0.40884171523450547,0.43306139244284203,0.5911582847654946,-0.024219677208336565,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Music,music,2,2,2,2,False,0.3650448176445507,0.3590653182401287,0.6349551823554493,0.005979499404421995,exploratory,True
P0,C3-P0,C4-P0,C3,C4,News Media,news media,4,4,4,12,True,0.39206152009359707,0.40064151960623967,0.6079384799064029,-0.0085799995126426,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Recycling,recycling,3,3,3,6,True,0.4558833494035784,0.4379165212296036,0.5441166505964217,0.01796682817397477,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Taxes,taxes,2,2,2,2,False,0.312563918631731,0.24127951281781668,0.687436081368269,0.07128440581391432,exploratory,True
P0,C3-P0,C4-P0,C3,C4,Trial By Jury,trial by jury,6,6,6,30,True,0.42049130514787536,0.4508413124162539,0.5795086948521246,-0.030350007268378554,exploratory,True
P1,C1-P1,C2-P1,C1,C2,Buying A Car,buying a car,2,2,2,2,False,0.3405728278048397,0.3117400161742438,0.6594271721951603,0.028832811630595923,exploratory,False
P1,C1-P1,C2-P1,C1,C2,Capital Punishment,capital punishment,2,2,2,2,False,0.3649164854062878,0.4249785790187057,0.6350835145937122,-0.06006209361241793,exploratory,False
P1,C1-P1,C2-P1,C1,C2,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.3432177125278416,0.28532593694314484,0.6567822874721584,0.05789177558469677,exploratory,False
P1,C1-P1,C2-P1,C1,C2,Child Care,child care,2,2,2,2,False,0.30599265447753843,0.3162365623385834,0.6940073455224616,-0.010243907861044954,exploratory,False
P1,C1-P1,C2-P1,C1,C2,Crime,crime,4,4,4,12,True,0.4226301471661875,0.40724223958788724,0.5773698528338125,0.015387907578300275,exploratory,False
P1,C1-P1,C2-P1,C1,C2,Drug Testing,drug testing,2,2,2,2,False,0.3404332069742484,0.3618975281241811,0.6595667930257516,-0.021464321149932686,exploratory,False
P1,C1-P1,C2-P1,C1,C2,Family Finance,family finance,5,5,5,20,True,0.36515693273319033,0.3592808699750907,0.6348430672668097,0.005876062758099654,exploratory,False
P1,C1-P1,C2-P1,C1,C2,Job Benefits,job benefits,5,5,5,20,True,0.32682761572567876,0.33498262582246746,0.6731723842743212,-0.008155010096788706,exploratory,False
P1,C1-P1,C2-P1,C1,C2,Music,music,2,2,2,2,False,0.33473038692727164,0.2997563993595401,0.6652696130727284,0.03497398756773151,exploratory,False
P1,C1-P1,C2-P1,C1,C2,News Media,news media,4,4,4,12,True,0.37123014176074703,0.38126293663700966,0.6287698582392529,-0.01003279487626263,exploratory,False
P1,C1-P1,C2-P1,C1,C2,Recycling,recycling,3,3,3,6,True,0.42323828322103757,0.4129782569710559,0.5767617167789625,0.01026002624998168,exploratory,False
P1,C1-P1,C2-P1,C1,C2,Taxes,taxes,2,2,2,2,False,0.204029957480044,0.22194978563896584,0.7959700425199561,-0.017919828158921847,exploratory,False
P1,C1-P1,C2-P1,C1,C2,Trial By Jury,trial by jury,6,6,6,30,True,0.3885089406774858,0.40795753686774316,0.6114910593225142,-0.01944859619025735,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Buying A Car,buying a car,2,2,2,2,False,0.330542059511577,0.4797475316657783,0.669457940488423,-0.14920547215420132,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Capital Punishment,capital punishment,2,2,2,2,False,0.3919937251647053,0.38243671625165354,0.6080062748352947,0.009557008913051779,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.3542667680096714,0.3485025078458996,0.6457332319903286,0.005764260163771795,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Child Care,child care,2,2,2,2,False,0.3149276190646009,0.34444120914454657,0.6850723809353991,-0.02951359007994564,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Crime,crime,4,4,4,12,True,0.4487392273912139,0.45435718469549724,0.5512607726087861,-0.0056179573042833275,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Drug Testing,drug testing,2,2,2,2,False,0.3665707491604432,0.4029958504424414,0.6334292508395568,-0.03642510128199822,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Family Finance,family finance,5,5,5,20,True,0.3787927280770846,0.38283817740214043,0.6212072719229154,-0.00404544932505585,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Job Benefits,job benefits,5,5,5,20,True,0.41054505978831835,0.4365742834575256,0.5894549402116817,-0.026029223669207235,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Music,music,2,2,2,2,False,0.3170641785588864,0.30556380725406934,0.6829358214411136,0.01150037130481707,exploratory,False
P1,C1-P1,C3-P1,C1,C3,News Media,news media,4,4,4,12,True,0.42997665940707297,0.4381255022715696,0.570023340592927,-0.00814884286449663,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Recycling,recycling,3,3,3,6,True,0.5148533843663209,0.5234358460292078,0.4851466156336791,-0.008582461662886898,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Taxes,taxes,2,2,2,2,False,0.3404598352783258,0.22842953735163418,0.6595401647216742,0.11203029792669161,exploratory,False
P1,C1-P1,C3-P1,C1,C3,Trial By Jury,trial by jury,6,6,6,30,True,0.4604545281692444,0.4846869886754482,0.5395454718307555,-0.024232460506203757,exploratory,False
P1,C1-P1,C4-P1,C1,C4,Buying A Car,buying a car,2,2,2,2,False,0.38036643931932707,0.3831904206605145,0.6196335606806729,-0.0028239813411874426,exploratory,True
P1,C1-P1,C4-P1,C1,C4,Capital Punishment,capital punishment,2,2,2,2,False,0.384566339910241,0.40682836823947915,0.615433660089759,-0.02226202832923818,exploratory,True
P1,C1-P1,C4-P1,C1,C4,Care Of The Elderly,care of the elderly,5,5,5,20,True,0.4044526590771526,0.38023913660932485,0.5955473409228473,0.024213522467827764,exploratory,True
P1,C1-P1,C4-P1,C1,C4,Child Care,child care,2,2,2,2,False,0.28997994459083715,0.32861028945531523,0.7100200554091629,-0.03863034486447808,exploratory,True
P1,C1-P1,C4-P1,C1,C4,Crime,crime,4,4,4,12,True,0.4664396194832034,0.4484916969985237,0.5335603805167966,0.01794792248467969,exploratory,True
P1,C1-P1,C4-P1,C1,C4,Drug Testing,drug testing,2,2,2,2,False,0.3896433305625626,0.3944198147229372,0.6103566694374374,-0.004776484160374572,exploratory,True
P1,C1-P1,C4-P1,C1,C4,Family Finance,family finance,5,5,5,20,True,0.40098572681812106,0.4133229322637778,0.5990142731818789,-0.012337205445656751,exploratory,True
P1,C1-P1,C4-P1,C1,C4,Job Benefits,job benefits,5,5,5,20,True,0.453278953133303,0.4459946602569985,0.546721046866697,0.007284292876304499,exploratory,True
P1,C1-P1,C4-P1,C1,C4,Music,music,2,2,2,2,False,0.31481790692636363,0.29374312963046384,0.6851820930736363,0.021074777295899794,exploratory,True
P1,C1-P1,C4-P1,C1,C4,News Media,news media,4,4,4,12,True,0.39862651071710437,0.409907792406732,0.6013734892828957,-0.01128128168962761,exploratory,True
P1,C1-P1,C4-P1,C1,C4,Recycling,recycling,3,3,3,6,True,0.47300567648876873,0.48937977293230056,0.5269943235112313,-0.016374096443531827,exploratory,True
